Chr,start,end,LITCHI007109_threshold,LITCHI007109_Mean,TB0135
Chr15,23682500,23682600,9.423076923076923,245.0,26.0
Chr8,19008100,19008200,120.5,241.0,2.0
Chr10,24231600,24231700,14.117647058823529,240.0,17.0
Chr8,17898000,17898100,6.184210526315789,235.0,38.0
Chr8,17976900,17977000,38.25,229.5,6.0
Chr11,5247300,5247400,6.835820895522388,229.0,33.5
Chr2,24251400,24251500,2.1980676328502415,227.5,103.5
Chr10,27331000,27331100,5.54320987654321,224.5,40.5
Chr10,26467900,26468000,2.8238993710691824,224.5,79.5
Chr4,19948300,19948400,6.96875,223.0,32.0
Chr4,30304600,30304700,6.082191780821918,222.0,36.5
Chr5,23019600,23019700,2.7453416149068324,221.0,80.5
Chr6,11897900,11898000,55.125,220.5,4.0
Chr1,5687600,5687700,11.179487179487179,218.0,19.5
Chr4,29910500,29910600,3.0489510489510487,218.0,71.5
Chr1,24965400,24965500,26.25,210.0,8.0
Chr3,36622400,36622500,69.66666666666667,209.0,3.0
Chr14,10579800,10579900,13.7,205.5,15.0
Chr6,30634400,30634500,204.5,204.5,1.0
Chr15,17805500,17805600,8.826086956521738,203.0,23.0
Chr7,28927600,28927700,40.3,201.5,5.0
Chr8,17761700,17761800,6.015625,192.5,32.0
Chr6,7342800,7342900,76.6,191.5,2.5
Chr1,23671700,23671800,2.5625,184.5,72.0
Chr4,5175400,5175500,2.476510067114094,184.5,74.5
Chr7,12406800,12406900,6.589285714285714,184.5,28.0
Chr5,34320200,34320300,12.233333333333333,183.5,15.0
Chr1,5699200,5699300,19.31578947368421,183.5,9.5
Chr5,17355500,17355600,18.2,182.0,10.0
Chr1,1676800,1676900,2.2452830188679247,178.5,79.5
Chr8,8290100,8290200,6.321428571428571,177.0,28.0
Chr10,26577700,26577800,37.333333333333336,168.0,4.5
Chr11,7537100,7537200,18.5,166.5,9.0
Chr10,27399500,27399600,2.7815126050420167,165.5,59.5
Chr3,31619900,31620000,13.0,162.5,12.5
Chr7,24778000,24778100,161.0,161.0,1.0
Chr15,16068200,16068300,10.7,160.5,15.0
Chr4,8711300,8711400,2.14,160.5,75.0
Chr13,21757300,21757400,20.0,160.0,8.0
Chr10,27077000,27077100,17.27777777777778,155.5,9.0
Chr10,5477600,5477700,5.5636363636363635,153.0,27.5
Chr10,10972700,10972800,4.765625,152.5,32.0
Chr7,12673800,12673900,76.25,152.5,2.0
Chr2,6687700,6687800,151.0,151.0,1.0
Chr10,27123600,27123700,2.7117117117117115,150.5,55.5
Chr11,6376500,6376600,14.95,149.5,10.0
Chr7,20685900,20686000,49.666666666666664,149.0,3.0
Chr6,1534200,1534300,37.25,149.0,4.0
Chr7,17860100,17860200,147.0,147.0,1.0
Chr12,16647500,16647600,4.126760563380282,146.5,35.5
Chr10,8189100,8189200,5.0,145.0,29.0
Chr2,32626600,32626700,57.8,144.5,2.5
Chr8,17799400,17799500,11.958333333333334,143.5,12.0
Chr8,18741400,18741500,23.833333333333332,143.0,6.0
Chr4,10628000,10628100,3.8513513513513513,142.5,37.0
Chr2,36972400,36972500,31.555555555555557,142.0,4.5
Chr9,14700400,14700500,40.57142857142857,142.0,3.5
Chr3,20906300,20906400,11.833333333333334,142.0,12.0
Chr12,22479600,22479700,47.0,141.0,3.0
Chr14,1134500,1134600,140.5,140.5,1.0
Chr4,15231000,15231100,4.633333333333334,139.0,30.0
Chr11,3640900,3641000,9.892857142857142,138.5,14.0
Chr3,18980700,18980800,46.0,138.0,3.0
Chr12,12042400,12042500,11.826086956521738,136.0,11.5
Chr10,26434500,26434600,2.72,136.0,50.0
Chr10,27353700,27353800,8.121212121212121,134.0,16.5
Chr2,25089300,25089400,4.45,133.5,30.0
Chr8,11503900,11504000,133.0,133.0,1.0
Chr6,8707300,8707400,12.619047619047619,132.5,10.5
Chr15,93100,93200,16.5625,132.5,8.0
Chr7,13331100,13331200,24.0,132.0,5.5
Chr10,20446000,20446100,20.23076923076923,131.5,6.5
Chr2,32997400,32997500,29.11111111111111,131.0,4.5
Chr4,6604300,6604400,6.390243902439025,131.0,20.5
Chr3,31182100,31182200,11.863636363636363,130.5,11.0
Chr3,5674700,5674800,10.36,129.5,12.5
Chr11,3313600,3313700,5.16,129.0,25.0
Chr2,19930500,19930600,4.526315789473684,129.0,28.5
Chr3,31637000,31637100,4.431034482758621,128.5,29.0
Chr5,22069500,22069600,36.57142857142857,128.0,3.5
Chr12,6241100,6241200,5.291666666666667,127.0,24.0
Chr6,18852400,18852500,8.758620689655173,127.0,14.5
Chr8,27790100,27790200,15.875,127.0,8.0
Chr12,495100,495200,2.3211009174311927,126.5,54.5
Chr2,19818200,19818300,3.9375,126.0,32.0
Chr10,24452200,24452300,3.5492957746478875,126.0,35.5
Chr4,17486300,17486400,5.6,126.0,22.5
Chr3,17123200,17123300,25.1,125.5,5.0
Chr1,23690100,23690200,2.1551724137931036,125.0,58.0
Chr2,10350700,10350800,31.0,124.0,4.0
Chr5,21756300,21756400,16.466666666666665,123.5,7.5
Chr13,1667300,1667400,4.1,123.0,30.0
Chr3,29827400,29827500,12.3,123.0,10.0
Chr4,16725700,16725800,6.282051282051282,122.5,19.5
Chr10,18824400,18824500,8.448275862068966,122.5,14.5
Chr1,46242700,46242800,3.4714285714285715,121.5,35.0
Chr6,31627000,31627100,8.678571428571429,121.5,14.0
Chr10,10470300,10470400,2.9156626506024095,121.0,41.5
Chr5,28602400,28602500,12.1,121.0,10.0
Chr15,3671900,3672000,17.214285714285715,120.5,7.0
Chr6,29697200,29697300,120.5,120.5,1.0
Chr14,13431200,13431300,26.666666666666668,120.0,4.5
Chr10,20065300,20065400,3.1866666666666665,119.5,37.5
Chr2,39110400,39110500,6.611111111111111,119.0,18.0
Chr7,28463300,28463400,7.9,118.5,15.0
Chr15,15365200,15365300,18.23076923076923,118.5,6.5
Chr14,14268600,14268700,4.72,118.0,25.0
Chr11,18471900,18472000,8.703703703703704,117.5,13.5
Chr6,18321300,18321400,13.823529411764707,117.5,8.5
Chr5,34308900,34309000,29.25,117.0,4.0
Chr10,9759700,9759800,2.034782608695652,117.0,57.5
Chr11,6951000,6951100,21.181818181818183,116.5,5.5
Chr15,11414500,11414600,38.833333333333336,116.5,3.0
Chr4,15736000,15736100,33.285714285714285,116.5,3.5
Chr10,25614600,25614700,8.214285714285714,115.0,14.0
Chr7,28055000,28055100,57.5,115.0,2.0
Chr5,8947700,8947800,5.476190476190476,115.0,21.0
Chr11,22772400,22772500,5.4523809523809526,114.5,21.0
Chr5,14547000,14547100,12.052631578947368,114.5,9.5
Chr10,15647400,15647500,6.0,114.0,19.0
Chr12,18747900,18748000,8.76923076923077,114.0,13.0
Chr10,18844200,18844300,7.09375,113.5,16.0
Chr2,36734800,36734900,22.7,113.5,5.0
Chr5,10977000,10977100,13.235294117647058,112.5,8.5
Chr10,3481400,3481500,8.653846153846153,112.5,13.0
Chr13,5074100,5074200,111.5,111.5,1.0
Chr6,26980600,26980700,18.5,111.0,6.0
Chr1,5669500,5669600,10.523809523809524,110.5,10.5
Chr5,4105600,4105700,16.923076923076923,110.0,6.5
Chr13,15141700,15141800,5.214285714285714,109.5,21.0
Chr15,9393800,9393900,8.423076923076923,109.5,13.0
Chr12,20411700,20411800,5.615384615384615,109.5,19.5
Chr1,5046600,5046700,2.449438202247191,109.0,44.5
Chr4,20617200,20617300,8.037037037037036,108.5,13.5
Chr2,22462500,22462600,13.5625,108.5,8.0
Chr14,20405100,20405200,3.3230769230769233,108.0,32.5
Chr1,33716900,33717000,4.387755102040816,107.5,24.5
Chr14,5893500,5893600,35.833333333333336,107.5,3.0
Chr6,10610900,10611000,42.8,107.0,2.5
Chr10,26370800,26370900,2.2291666666666665,107.0,48.0
Chr11,13333500,13333600,8.52,106.5,12.5
Chr3,36073900,36074000,14.133333333333333,106.0,7.5
Chr2,1109100,1109200,7.571428571428571,106.0,14.0
Chr14,24038200,24038300,19.272727272727273,106.0,5.5
Chr11,14801400,14801500,42.2,105.5,2.5
Chr15,8859200,8859300,5.0,105.0,21.0
Chr1,35098300,35098400,2.458823529411765,104.5,42.5
Chr14,24017100,24017200,18.90909090909091,104.0,5.5
Chr2,2912300,2912400,6.303030303030303,104.0,16.5
Chr14,6290100,6290200,11.555555555555555,104.0,9.0
Chr15,18220400,18220500,20.7,103.5,5.0
Chr1,29894300,29894400,6.9,103.5,15.0
Chr1,8582400,8582500,103.5,103.5,1.0
Chr5,10922000,10922100,6.242424242424242,103.0,16.5
Chr14,6060200,6060300,10.842105263157896,103.0,9.5
Chr1,17426300,17426400,3.3225806451612905,103.0,31.0
Chr11,9274200,9274300,10.789473684210526,102.5,9.5
Chr1,6442500,6442600,25.625,102.5,4.0
Chr7,12582300,12582400,15.76923076923077,102.5,6.5
Chr1,23454700,23454800,10.25,102.5,10.0
Chr14,21896900,21897000,13.666666666666666,102.5,7.5
Chr10,18972400,18972500,8.5,102.0,12.0
Chr13,12664500,12664600,22.666666666666668,102.0,4.5
Chr15,13500800,13500900,12.75,102.0,8.0
Chr2,6590900,6591000,102.0,102.0,1.0
Chr3,28943700,28943800,20.4,102.0,5.0
Chr6,21978000,21978100,6.0,102.0,17.0
Chr3,25167000,25167100,15.615384615384615,101.5,6.5
Chr2,36214300,36214400,33.666666666666664,101.0,3.0
Chr2,4162000,4162100,5.17948717948718,101.0,19.5
Chr5,21162500,21162600,5.9411764705882355,101.0,17.0
Chr3,13398800,13398900,8.782608695652174,101.0,11.5
Chr3,8519900,8520000,18.272727272727273,100.5,5.5
Chr11,20150300,20150400,6.483870967741935,100.5,15.5
Chr10,27450700,27450800,11.764705882352942,100.0,8.5
Chr10,14558300,14558400,18.09090909090909,99.5,5.5
Chr1,14724800,14724900,3.2096774193548385,99.5,31.0
Chr12,3387800,3387900,4.95,99.0,20.0
Chr2,5825800,5825900,7.071428571428571,99.0,14.0
Chr15,6408800,6408900,5.2105263157894735,99.0,19.0
Chr2,9199300,9199400,65.66666666666667,98.5,1.5
Chr10,18813900,18814000,17.90909090909091,98.5,5.5
Chr12,12915000,12915100,5.297297297297297,98.0,18.5
Chr10,27240000,27240100,6.125,98.0,16.0
Chr14,12016700,12016800,17.727272727272727,97.5,5.5
Chr6,22477600,22477700,7.461538461538462,97.0,13.0
Chr4,5346200,5346300,3.803921568627451,97.0,25.5
Chr10,26874800,26874900,9.7,97.0,10.0
Chr14,12469800,12469900,8.391304347826088,96.5,11.5
Chr10,25420100,25420200,13.714285714285714,96.0,7.0
Chr2,11623100,11623200,2.1333333333333333,96.0,45.0
Chr1,40133100,40133200,6.620689655172414,96.0,14.5
Chr11,19461700,19461800,9.6,96.0,10.0
Chr2,17627200,17627300,5.485714285714286,96.0,17.5
Chr5,4854100,4854200,3.6226415094339623,96.0,26.5
Chr3,6922800,6922900,13.714285714285714,96.0,7.0
Chr5,5704500,5704600,6.193548387096774,96.0,15.5
Chr15,23283200,23283300,9.142857142857142,96.0,10.5
Chr14,8381500,8381600,13.642857142857142,95.5,7.0
Chr10,3168300,3168400,2.6164383561643834,95.5,36.5
Chr15,17487900,17488000,7.958333333333333,95.5,12.0
Chr2,11281400,11281500,19.0,95.0,5.0
Chr10,8073800,8073900,7.037037037037037,95.0,13.5
Chr10,25889200,25889300,5.0,95.0,19.0
Chr11,17740400,17740500,7.875,94.5,12.0
Chr10,11893300,11893400,7.56,94.5,12.5
Chr12,2113100,2113200,4.0212765957446805,94.5,23.5
Chr7,12626100,12626200,11.8125,94.5,8.0
Chr15,1336900,1337000,8.590909090909092,94.5,11.0
Chr7,4586000,4586100,94.5,94.5,1.0
Chr6,10123700,10123800,15.75,94.5,6.0
Chr6,2961800,2961900,6.096774193548387,94.5,15.5
Chr15,9754000,9754100,6.962962962962963,94.0,13.5
Chr1,23032400,23032500,6.714285714285714,94.0,14.0
Chr3,15127400,15127500,2.876923076923077,93.5,32.5
Chr1,24993700,24993800,3.74,93.5,25.0
Chr3,12577800,12577900,26.714285714285715,93.5,3.5
Chr11,17250300,17250400,3.169491525423729,93.5,29.5
Chr12,23100800,23100900,2.4285714285714284,93.5,38.5
Chr3,30565000,30565100,93.0,93.0,1.0
Chr13,13867500,13867600,10.941176470588236,93.0,8.5
Chr1,16878700,16878800,11.625,93.0,8.0
Chr10,9818600,9818700,10.882352941176471,92.5,8.5
Chr1,21673600,21673700,3.245614035087719,92.5,28.5
Chr6,25200200,25200300,30.833333333333332,92.5,3.0
Chr7,27700,27800,10.882352941176471,92.5,8.5
Chr6,21992100,21992200,6.166666666666667,92.5,15.0
Chr4,15673200,15673300,2.102272727272727,92.5,44.0
Chr3,19825100,19825200,4.6,92.0,20.0
Chr14,18589600,18589700,61.333333333333336,92.0,1.5
Chr3,34298500,34298600,11.5,92.0,8.0
Chr15,8031000,8031100,3.2857142857142856,92.0,28.0
Chr3,34067200,34067300,12.2,91.5,7.5
Chr15,22872200,22872300,4.575,91.5,20.0
Chr2,17549700,17549800,5.903225806451613,91.5,15.5
Chr1,31533000,31533100,3.8125,91.5,24.0
Chr1,28166800,28166900,2.5416666666666665,91.5,36.0
Chr6,26834400,26834500,4.232558139534884,91.0,21.5
Chr1,34797700,34797800,8.666666666666666,91.0,10.5
Chr3,23228100,23228200,30.333333333333332,91.0,3.0
Chr10,42300,42400,2.246913580246914,91.0,40.5
Chr5,16716400,16716500,4.044444444444444,91.0,22.5
Chr9,16355500,16355600,22.625,90.5,4.0
Chr15,2926900,2927000,90.5,90.5,1.0
Chr6,23476600,23476700,25.857142857142858,90.5,3.5
Chr8,14572100,14572200,36.2,90.5,2.5
Chr13,3668300,3668400,90.5,90.5,1.0
Chr15,8146200,8146300,9.05,90.5,10.0
Chr6,31952500,31952600,5.806451612903226,90.0,15.5
Chr14,8424900,8425000,89.5,89.5,1.0
Chr7,22375800,22375900,29.833333333333332,89.5,3.0
Chr8,14416800,14416900,44.75,89.5,2.0
Chr13,3593500,3593600,29.666666666666668,89.0,3.0
Chr1,27449100,27449200,3.423076923076923,89.0,26.0
Chr4,33621700,33621800,35.6,89.0,2.5
Chr3,24928200,24928300,13.692307692307692,89.0,6.5
Chr15,10868000,10868100,9.88888888888889,89.0,9.0
Chr3,21048700,21048800,16.09090909090909,88.5,5.5
Chr7,17425600,17425700,13.615384615384615,88.5,6.5
Chr9,1313000,1313100,8.045454545454545,88.5,11.0
Chr3,3081500,3081600,9.833333333333334,88.5,9.0
Chr1,8328400,8328500,25.285714285714285,88.5,3.5
Chr8,20395900,20396000,5.9,88.5,15.0
Chr6,13077400,13077500,88.0,88.0,1.0
Chr10,9703300,9703400,12.571428571428571,88.0,7.0
Chr11,22320700,22320800,4.190476190476191,88.0,21.0
Chr11,12503800,12503900,6.730769230769231,87.5,13.0
Chr3,3982200,3982300,7.291666666666667,87.5,12.0
Chr1,26409500,26409600,9.722222222222221,87.5,9.0
Chr7,1370800,1370900,19.444444444444443,87.5,4.5
Chr10,8085700,8085800,7.608695652173913,87.5,11.5
Chr10,27198700,27198800,4.861111111111111,87.5,18.0
Chr8,17845100,17845200,4.461538461538462,87.0,19.5
Chr12,23891900,23892000,4.046511627906977,87.0,21.5
Chr2,1877800,1877900,13.384615384615385,87.0,6.5
Chr1,47557300,47557400,11.6,87.0,7.5
Chr14,12252800,12252900,3.9545454545454546,87.0,22.0
Chr3,31135700,31135800,7.565217391304348,87.0,11.5
Chr14,22940700,22940800,10.235294117647058,87.0,8.5
Chr14,5226300,5226400,57.666666666666664,86.5,1.5
Chr13,15196900,15197000,3.326923076923077,86.5,26.0
Chr7,29420100,29420200,6.653846153846154,86.5,13.0
Chr10,26761400,26761500,6.142857142857143,86.0,14.0
Chr7,15126600,15126700,15.636363636363637,86.0,5.5
Chr13,9317700,9317800,15.545454545454545,85.5,5.5
Chr11,25588000,25588100,12.214285714285714,85.5,7.0
Chr7,12384300,12384400,6.333333333333333,85.5,13.5
Chr11,22782700,22782800,4.885714285714286,85.5,17.5
Chr8,29726000,29726100,28.5,85.5,3.0
Chr7,23329400,23329500,6.538461538461538,85.0,13.0
Chr8,19673300,19673400,7.391304347826087,85.0,11.5
Chr8,427600,427700,85.0,85.0,1.0
Chr3,31833900,31834000,18.88888888888889,85.0,4.5
Chr13,18246000,18246100,8.5,85.0,10.0
Chr13,12957200,12957300,17.0,85.0,5.0
Chr11,19358700,19358800,12.142857142857142,85.0,7.0
Chr4,8090100,8090200,4.358974358974359,85.0,19.5
Chr1,17215500,17215600,7.083333333333333,85.0,12.0
Chr4,4490000,4490100,6.035714285714286,84.5,14.0
Chr11,21220900,21221000,14.083333333333334,84.5,6.0
Chr12,14298500,14298600,33.8,84.5,2.5
Chr1,14257800,14257900,6.76,84.5,12.5
Chr14,18776500,18776600,28.166666666666668,84.5,3.0
Chr1,8952900,8953000,2.5606060606060606,84.5,33.0
Chr1,46299100,46299200,3.1296296296296298,84.5,27.0
Chr12,196500,196600,12.0,84.0,7.0
Chr1,43174000,43174100,28.0,84.0,3.0
Chr12,20145500,20145600,6.72,84.0,12.5
Chr2,21979600,21979700,5.25,84.0,16.0
Chr1,27031200,27031300,14.0,84.0,6.0
Chr1,16315300,16315400,3.7333333333333334,84.0,22.5
Chr10,6234400,6234500,6.958333333333333,83.5,12.0
Chr6,18099200,18099300,20.875,83.5,4.0
Chr1,3503100,3503200,6.423076923076923,83.5,13.0
Chr2,29164700,29164800,10.375,83.0,8.0
Chr6,32051500,32051600,33.2,83.0,2.5
Chr10,26506000,26506100,11.857142857142858,83.0,7.0
Chr3,28472100,28472200,4.256410256410256,83.0,19.5
Chr13,156700,156800,6.384615384615385,83.0,13.0
Chr10,12367800,12367900,4.368421052631579,83.0,19.0
Chr4,11101700,11101800,12.76923076923077,83.0,6.5
Chr1,12735700,12735800,2.6774193548387095,83.0,31.0
Chr1,41285800,41285900,4.024390243902439,82.5,20.5
Chr1,14807300,14807400,3.3,82.5,25.0
Chr10,22859300,22859400,16.5,82.5,5.0
Chr1,10213100,10213200,4.230769230769231,82.5,19.5
Chr1,13918700,13918800,3.4375,82.5,24.0
Chr5,8900700,8900800,6.833333333333333,82.0,12.0
Chr1,24142100,24142200,18.22222222222222,82.0,4.5
Chr7,3863000,3863100,4.96969696969697,82.0,16.5
Chr12,2033400,2033500,4.96969696969697,82.0,16.5
Chr7,27733200,27733300,40.75,81.5,2.0
Chr10,9719100,9719200,3.0754716981132075,81.5,26.5
Chr2,5098500,5098600,7.761904761904762,81.5,10.5
Chr8,29736600,29736700,7.761904761904762,81.5,10.5
Chr10,9033000,9033100,10.1875,81.5,8.0
Chr5,8926100,8926200,6.269230769230769,81.5,13.0
Chr13,11573800,11573900,5.433333333333334,81.5,15.0
Chr11,11603000,11603100,2.36231884057971,81.5,34.5
Chr11,18440000,18440100,3.7906976744186047,81.5,21.5
Chr14,14069700,14069800,20.375,81.5,4.0
Chr13,3025100,3025200,7.761904761904762,81.5,10.5
Chr2,1935900,1936000,40.75,81.5,2.0
Chr15,17575000,17575100,27.166666666666668,81.5,3.0
Chr10,18916200,18916300,2.9454545454545453,81.0,27.5
Chr3,31916000,31916100,81.0,81.0,1.0
Chr14,23661500,23661600,6.75,81.0,12.0
Chr11,7661900,7662000,5.225806451612903,81.0,15.5
Chr3,21614500,21614600,5.4,81.0,15.0
Chr2,6997800,6997900,26.833333333333332,80.5,3.0
Chr3,9757800,9757900,16.1,80.5,5.0
Chr3,16038300,16038400,7.318181818181818,80.5,11.0
Chr13,8263300,8263400,7.0,80.5,11.5
Chr9,17787800,17787900,6.44,80.5,12.5
Chr12,23599900,23600000,16.1,80.5,5.0
Chr3,28613100,28613200,13.416666666666666,80.5,6.0
Chr1,4791000,4791100,14.636363636363637,80.5,5.5
Chr3,10362800,10362900,4.025,80.5,20.0
Chr13,2605800,2605900,20.0,80.0,4.0
Chr10,14272400,14272500,32.0,80.0,2.5
Chr13,21296900,21297000,80.0,80.0,1.0
Chr11,18360300,18360400,26.666666666666668,80.0,3.0
Chr10,18074900,18075000,3.8095238095238093,80.0,21.0
Chr10,27096900,27097000,2.1333333333333333,80.0,37.5
Chr7,15964700,15964800,80.0,80.0,1.0
Chr3,4536600,4536700,3.404255319148936,80.0,23.5
Chr12,4107800,4107900,6.153846153846154,80.0,13.0
Chr1,32520200,32520300,8.421052631578947,80.0,9.5
Chr2,38540700,38540800,3.3333333333333335,80.0,24.0
Chr3,13522200,13522300,4.542857142857143,79.5,17.5
Chr1,34807700,34807800,3.7857142857142856,79.5,21.0
Chr12,24193500,24193600,3.3125,79.5,24.0
Chr1,384500,384600,79.5,79.5,1.0
Chr15,6449900,6450000,3.975,79.5,20.0
Chr1,3281800,3281900,19.875,79.5,4.0
Chr11,17133400,17133500,3.1176470588235294,79.5,25.5
Chr1,8112300,8112400,4.542857142857143,79.5,17.5
Chr6,5814100,5814200,39.75,79.5,2.0
Chr3,14183100,14183200,15.9,79.5,5.0
Chr15,23370900,23371000,5.851851851851852,79.0,13.5
Chr6,7765300,7765400,4.388888888888889,79.0,18.0
Chr1,14006500,14006600,22.571428571428573,79.0,3.5
Chr2,26189600,26189700,4.647058823529412,79.0,17.0
Chr8,2150800,2150900,17.555555555555557,79.0,4.5
Chr15,19982400,19982500,11.285714285714286,79.0,7.0
Chr2,12694800,12694900,4.647058823529412,79.0,17.0
Chr10,25319600,25319700,2.6779661016949152,79.0,29.5
Chr13,357500,357600,5.851851851851852,79.0,13.5
Chr1,33246700,33246800,5.096774193548387,79.0,15.5
Chr15,22051400,22051500,10.533333333333333,79.0,7.5
Chr13,6313300,6313400,22.571428571428573,79.0,3.5
Chr2,16260200,16260300,3.2244897959183674,79.0,24.5
Chr14,2724300,2724400,15.8,79.0,5.0
Chr2,14818100,14818200,31.4,78.5,2.5
Chr14,10018800,10018900,4.131578947368421,78.5,19.0
Chr1,23893900,23894000,12.076923076923077,78.5,6.5
Chr12,77100,77200,2.3088235294117645,78.5,34.0
Chr2,29699900,29700000,39.25,78.5,2.0
Chr8,11037300,11037400,8.263157894736842,78.5,9.5
Chr12,9283100,9283200,3.488888888888889,78.5,22.5
Chr1,23266400,23266500,3.2708333333333335,78.5,24.0
Chr8,22566400,22566500,10.466666666666667,78.5,7.5
Chr1,13673200,13673300,2.5737704918032787,78.5,30.5
Chr14,9166100,9166200,31.4,78.5,2.5
Chr13,433900,434000,4.216216216216216,78.0,18.5
Chr13,13180100,13180200,2.0526315789473686,78.0,38.0
Chr2,23305000,23305100,5.571428571428571,78.0,14.0
Chr3,34580600,34580700,8.666666666666666,78.0,9.0
Chr1,14538800,14538900,5.2,78.0,15.0
Chr10,9055300,9055400,9.75,78.0,8.0
Chr1,11334200,11334300,2.012987012987013,77.5,38.5
Chr12,16048100,16048200,6.739130434782608,77.5,11.5
Chr4,16379500,16379600,3.0392156862745097,77.5,25.5
Chr13,888200,888300,77.5,77.5,1.0
Chr14,22777700,22777800,8.61111111111111,77.5,9.0
Chr3,20411500,20411600,11.071428571428571,77.5,7.0
Chr2,35633100,35633200,4.5588235294117645,77.5,17.0
Chr5,8182200,8182300,6.739130434782608,77.5,11.5
Chr15,22756600,22756700,6.739130434782608,77.5,11.5
Chr11,22712300,22712400,4.5588235294117645,77.5,17.0
Chr10,22226400,22226500,8.555555555555555,77.0,9.0
Chr8,19241900,19242000,2.9056603773584904,77.0,26.5
Chr4,5281600,5281700,4.4,77.0,17.5
Chr15,22941900,22942000,4.277777777777778,77.0,18.0
Chr10,24080000,24080100,4.277777777777778,77.0,18.0
Chr10,27285600,27285700,2.9056603773584904,77.0,26.5
Chr10,15637200,15637300,4.162162162162162,77.0,18.5
Chr10,8332000,8332100,15.3,76.5,5.0
Chr15,15819900,15820000,21.857142857142858,76.5,3.5
Chr7,16269700,16269800,19.125,76.5,4.0
Chr12,19613700,19613800,17.0,76.5,4.5
Chr9,12650200,12650300,38.25,76.5,2.0
Chr1,5302000,5302100,7.285714285714286,76.5,10.5
Chr1,11281100,11281200,2.732142857142857,76.5,28.0
Chr5,13412500,13412600,5.464285714285714,76.5,14.0
Chr15,17992400,17992500,10.928571428571429,76.5,7.0
Chr12,12842900,12843000,9.5625,76.5,8.0
Chr10,9437800,9437900,5.464285714285714,76.5,14.0
